client_id	path	sentence	up_votes	down_votes	age	gender	accent	locale	segment
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026042.mp3	Facilmente adquirido, facilmente perdido.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026045.mp3	Os filhos dos gatos pegam ratos.	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026052.mp3	A multidão está em polvorosa com o resultado da eleição	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026157.mp3	Com o afeto das canções	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026162.mp3	O desconhecido declarou chamar-se Fortunato Gomes da Silveira.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026271.mp3	Toda criança ama brinquedos.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026357.mp3	Três coisas são insaciáveis: fogo, terra e mulheres.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026359.mp3	Rock ficou surpreso.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026361.mp3	O contexto é sempre necessário.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026363.mp3	Ninguém falou.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026514.mp3	Nós viemos da Preixana.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026613.mp3	Trajes de banho para frequentar a piscina	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026616.mp3	A criança estava bocejando e tremendo.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026620.mp3	Em seguida, adicione os legumes e batatas cortadas ao meio.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026736.mp3	Os domingos têm uma fila.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026742.mp3	O computador foi um estímulo para você aprender a ler e escrever.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026841.mp3	Ele conterá a documentação detalhada no dia especial depois de amanhã.	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026842.mp3	"Você terá que descrever em que consiste a atividade ""evento"" na memória."	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026855.mp3	Modo turbo	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026858.mp3	O número do meu pin é três, sete, dois, seis.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026935.mp3	Você pode nos enviar por email.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026937.mp3	Para alunos com disciplinas não aprovadas na avaliação final, haverá um teste extraordinário.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026940.mp3	Em junho, o boi não está ligado.	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27026941.mp3	A mãe que tem filhas vai comer bolos.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027035.mp3	São conquistas, se quisermos, modestas, mas tocadas pela genuína sensibilidade proletária.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027038.mp3	Eles tiveram que desistir de melhorar.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027105.mp3	Isso é um erro.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027189.mp3	Tanto orgulho de verde reúne no jardim.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027200.mp3	O auxílio é traduzido em um grau superior a noventa e seis por cento.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027274.mp3	Não, não me arrependo das vinte apólices que lhe deixei.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027290.mp3	Os certificados administrativos eletrônicos produzem efeitos idênticos aos emitidos em suporte de papel.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027329.mp3	Feche a porta, por favor.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027331.mp3	Coisas baratas só funcionam por um curto período de tempo.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027332.mp3	Eu soube	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027334.mp3	Nada disso é encontrado no preceito questionado.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027414.mp3	O prazo para colocá-lo também será de quatro meses.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027420.mp3	Você vê que eu entendo mais sobre a situação agora?	2	1				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027425.mp3	Um exame mais detalhado revela que não há nada de contraditório.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027517.mp3	Palácio do Supremo Tribunal Federal	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027529.mp3	Desta vez não.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027538.mp3	O registro é gratuito mas obrigatório e é feito através da página web.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027600.mp3	Abelhas precisam de flores para polinizar e produzir mel	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027605.mp3	E isso nos deixou um pouco tristes.	2	0				pt	
c937d909b99d48ab90cf5ae04201395fb23b9f2fc4524beb3f4001bb14521712bc151d736e54e53d6ce527b824dc630f3ea3873d5bcb4bd39fe8237f41ccadd0	common_voice_pt_27027609.mp3	O peixe que sai do mar não volta mais.	2	0				pt	
